ID,Team,Title,Description,Status,Estimate,Priority,Project ID,Project,Creator,Assignee,Labels,Cycle Number,Cycle Name,Cycle Start,Cycle End,Created,Updated,Started,Triaged,Completed,Canceled,Archived,Due Date,Parent issue,Initiatives,Project Milestone ID,Project Milestone,SLA Status,Roadmaps
FSK-59,fullstack,任务拆解,,Backlog,,No priority,f00867b7-48c4-4880-9cd6-c6acd404f5e0,book-vca-copilot,wubin28@gmail.com,wubin28@gmail.com,,,,,,Sun May 11 2025 07:39:40 GMT+0000 (GMT),Sun May 11 2025 09:48:07 GMT+0000 (GMT),,,,,,,,,,,,
FSK-60,fullstack,【人工】在linear里创建issue,,Backlog,,No priority,f00867b7-48c4-4880-9cd6-c6acd404f5e0,book-vca-copilot,wubin28@gmail.com,wubin28@gmail.com,,,,,,Sun May 11 2025 07:39:40 GMT+0000 (GMT),Sun May 11 2025 08:16:05 GMT+0000 (GMT),Sun May 11 2025 08:15:24 GMT+0000 (GMT),,,,,,FSK-59,,,,,
FSK-61,fullstack,需求分析,,Backlog,,No priority,f00867b7-48c4-4880-9cd6-c6acd404f5e0,book-vca-copilot,wubin28@gmail.com,wubin28@gmail.com,,,,,,Sun May 11 2025 07:40:29 GMT+0000 (GMT),Sun May 11 2025 08:15:40 GMT+0000 (GMT),,,,,,,,,,,,
FSK-62,fullstack,【人工】描述需求,,Backlog,,No priority,f00867b7-48c4-4880-9cd6-c6acd404f5e0,book-vca-copilot,wubin28@gmail.com,wubin28@gmail.com,,,,,,Sun May 11 2025 07:40:29 GMT+0000 (GMT),Sun May 11 2025 08:15:57 GMT+0000 (GMT),Sun May 11 2025 08:15:57 GMT+0000 (GMT),,,,,,FSK-61,,,,,
FSK-63,fullstack,架构设计与技术选型,,Backlog,,No priority,f00867b7-48c4-4880-9cd6-c6acd404f5e0,book-vca-copilot,wubin28@gmail.com,wubin28@gmail.com,,,,,,Sun May 11 2025 07:43:48 GMT+0000 (GMT),Sun May 11 2025 07:43:48 GMT+0000 (GMT),,,,,,,,,,,,
FSK-64,fullstack,【用AI】生成架构建议,,Backlog,,No priority,f00867b7-48c4-4880-9cd6-c6acd404f5e0,book-vca-copilot,wubin28@gmail.com,wubin28@gmail.com,,,,,,Sun May 11 2025 07:43:48 GMT+0000 (GMT),Sun May 11 2025 07:43:48 GMT+0000 (GMT),,,,,,,FSK-63,,,,,
FSK-65,fullstack,【用AI】生成架构rule,,Backlog,,No priority,f00867b7-48c4-4880-9cd6-c6acd404f5e0,book-vca-copilot,wubin28@gmail.com,wubin28@gmail.com,,,,,,Sun May 11 2025 07:43:48 GMT+0000 (GMT),Sun May 11 2025 07:43:48 GMT+0000 (GMT),,,,,,,FSK-63,,,,,
FSK-66,fullstack,【用AI】生成.gitignore,,Backlog,,No priority,f00867b7-48c4-4880-9cd6-c6acd404f5e0,book-vca-copilot,wubin28@gmail.com,wubin28@gmail.com,,,,,,Sun May 11 2025 07:43:48 GMT+0000 (GMT),Sun May 11 2025 07:43:48 GMT+0000 (GMT),,,,,,,FSK-63,,,,,
FSK-67,fullstack,【人工】允许对rule进行版本化,,Backlog,,No priority,f00867b7-48c4-4880-9cd6-c6acd404f5e0,book-vca-copilot,wubin28@gmail.com,wubin28@gmail.com,,,,,,Sun May 11 2025 07:43:48 GMT+0000 (GMT),Sun May 11 2025 07:43:48 GMT+0000 (GMT),,,,,,,FSK-63,,,,,
FSK-68,fullstack,【用AI】优化架构rule,,Backlog,,No priority,f00867b7-48c4-4880-9cd6-c6acd404f5e0,book-vca-copilot,wubin28@gmail.com,wubin28@gmail.com,,,,,,Sun May 11 2025 07:43:48 GMT+0000 (GMT),Sun May 11 2025 07:43:48 GMT+0000 (GMT),,,,,,,FSK-63,,,,,
